Text,Meta
"S&P Global Inc. 16functions so that I can put my investment into these other areas that are going to differentiate us in themarket. "" And that is really helping drive the next wave of growth for operations, and we think that's goingto be even more important as we see this enterprise-wide transformation. OperatorAnd our next question is from the line of Jason Kupferberg of Bank of America.","Accenture plc, Q4 2019 Earnings Call, Sep 26, 2019"
"So what -- I guess, 2 subquestions to this. Is there a risk actually that you're getting potentially rid of steel and keeping Plant Techat the structural trough of the steel cycle but the structural peak of the Plant Tech cycle?","ThyssenKrupp AG, H1 2016 Earnings Call, May 10, 2016"
"We acquired Promontory becauseyou can't help banks navigate regulatory environments by scraping the web or automating keystrokes. You need top industry specialists that understand the complexity and can train Watson to deal with riskmanagement requirements that are specific to financial services because who trains your AI platformmatters. So bringing together cognitive technology, private data, a cloud platform and industry expertise is whatyou need to do real work in the enterprise.INTERNATIONAL BUSINESS MACHINES CORPORATION","International Business Machines Corporation, Q4 2016 Earnings Call, Jan 19, 2017"
"You can see on our first slide a summary of the key achievements of Repsol during the year 2015. Evenin such an adverse macro environment, we can say that 2015 was a successful and transformational yearfor the company. On the 8th of May 2015, we complete the acquisition of Talisman Energy, a transactionaligned with the key targets laid out in our previous strategic plan for 2012 to 2016.","Repsol, S.A., Q4 2015 Earnings Call, Feb 25, 2016"
"And you made the point thatit's capturing organic as well as inorganic opportunities. Now when I look at Q1, it looks like light, butthat's probably a feature of many Q1s. Just wonder whether you'd want to comment around whetherthat is a fair reflection, a fair assumption?","Royal Dutch Shell plc, Q1 2018 Earnings Call, Apr 26, 2018"
"It is rather granular. About JPY 1 billionimprovement has been made; for the telecommunication, declined further than expected. But the systemsolutions was able to increase volume.","Hitachi Ltd., Q1 2016 Earnings Call, Jul 29, 2015"
"And this brings me to the next point about employee shareholdership. This is one of thekey components of that very specific Bouygues feature. We have a significant employee shareholdership,and that is one of the defining dimensions of Bouygues' own corporate culture.","Bouygues SA, H1 2016 Earnings Call, Aug 31, 2016"
"One of the answers or solutions is the new Nissan LEAF,which will be unveiled on the 6th of September, driving range and the e-paddle, ProPILOT. There are alot of features on this new Nissan LEAF. So with this new car, we would like to accelerate the trend ofelectrification.","Nissan Motor Co., Ltd., Q1 2018 Earnings Call, Jul 27, 2017"
"Network virtualization with UNICA was deployed in 10 countries and up to 66% of processes aredigitalized and managed in real time, while 30% of customers migrated to full stack. The third platform provides an enlarged offering with digital services revenues growing by 21% in the firstquarter, leveraging on personalization in the residential business and becoming the best partner for theenterprise's digitalization process. The fourth platform enriches on the above with artificial intelligence and open platforms.","Telefonica, S.A., Q1 2019 Earnings Call, May 10, 2019"
"So what's really driving this more is the fact that we've been investing in these brands and some ofour brands are less mature. And we have continued growth in a number of our channels in terms of theexisting traditional MVPD subscriber base as well. And I think, actually, only one of our major brands sawany shrinkage in the quarter.","Twenty-First Century Fox, Inc., Q3 2017 Earnings Call, May 10, 2017"
"We have massive amounts of storage needs. And therefore, we developedthe cloud products for ourselves first. And then they're strong enough and good enough to be openedup to third-party customers.","Alibaba Group Holding Limited, Q1 2017 Earnings Call, Aug 11, 2016"
"And since2014, we have constantly ramped up R&D resources in both absolute as well as relative terms. Maindriver, obviously, has been the rising share of software, digital and artificial intelligence with applicationsacross the businesses. Those are reflected -- the results are reflected in our resource allocation.","Siemens Aktiengesellschaft, Q4 2018 Earnings Call, Nov 08, 2018"
"So in order topromote this effort, as of 1st of April, we have installed the Chief Digital Officer, CDO, who would drivethis digital transformation on a companywide growth strategy. And as a Corporate Promotion division,we have established the digital transformation strategy acceleration division. Also as of 2nd of April, wehave established a new company, Toshiba Digital and Consulting Corporation which will provide all the wayfrom consulting to value creation in digital business.","Toshiba Corporation, 2018 Earnings Call, May 15, 2018"
"So I wasjust wondering, is there any kind of any seasonality impact or any specific product feature changes that'smaking","Tencent Holdings Limited, Q3 2016 Earnings Call, Nov 16, 2016"
"Automation doesplay a role, and we are pushing that hard, not just of our trucks but also of our drills. And we see a steadyramp-up in the use of automation over the next 5 years, which will enable further cost reductions. But theachievements that we expect -- have made and we expect to make going forward, are much more broadthan that.","BHP Group, 2017 Earnings Call, Aug 22, 2017"
"But in terms ofthe skill set and the knowledge, the various people through -- across the businesses get together quitea lot, collaboratively and work through stuff, and we're always happy to share as we do with the otherbusinesses, and it's reciprocal in terms of the work that gets done. And at the start of this call, Rob talkedabout the digital center of excellence and one of the outcomes of that I think will be an even higher levelof collaboration across the businesses within the group. So I'd expect all of us to get better as we learnthat.","Wesfarmers Limited, H1 2018 Earnings Call, Feb 21, 2018"
"Well, on LAMSAC, it's very premature. I mean, first off, over and above the oralcommunications, I mean, Lima municipality would have to start acting. What they said, that they wouldplace the matter in the hands of international bodies, no doubt referring to the fact that in the contract it'smentioned that in the event of a dispute, that disputes are treated by -- what's it called, an arbitration --international arbitration in Paris.","VINCI SA, H1 2019 Earnings Call, Jul 31, 2019"
"Most important thing from a shareholder value creation perspective is the folks that we have runningdevelopment right now: Jennifer Morgan, running our line of business network and ExperienceManagement clouds in the United States; Christian Klein, running the flagship S/4HANA franchise;and Juergen Müller, running HANA analytics and Leonardo with deep machine learning and artificialintelligence. These are the 3 premier leaders that we've had in the company.","SAP SE, Q1 2019 Earnings Call, Apr 24, 2019"
"On themobile side, as Larry said before with respect to desktop, it took time to fully develop the pricing model. And we remain focused on building the mobile ecosystem to have the right ad formats and measurementtools to take advantage of all the platform has to offer.","Google Inc., Q2 2015 Earnings Call, Jul 16, 2015"
"by2022.In addition , we continue with the most visible step, the transformation of the company into separate legalentities. After receiving the approval of the board of management and the supervisory board in July, wecontinue to be well on track with PROJECT FUTURE.","Daimler AG, Q3 2018 Earnings Call, Oct 25, 2018"
"We invest for the long-term and boost risk-adjusted returns from real assets at a time of super low returnsfrom conventional traded assets. Mark, John, Mark and Kerrigan, not quite the Beatles, but nearly, will talkthrough the business in detail, but the common features of 2014 were scale and focus. Where we haveareas of exceptional strength, we build on them.","Legal  General Group Plc, 2014 Earnings Call, Mar 04, 2015"
"So we would not communicate with you unless we had confidence in what our understanding of thesituation is, and we've been very consistent for 2 years now in articulating this. And now we've had moreformal communication from the regulator on the D-SIB, G-SIB buffer, so I think we continue to hear aconsistent message. Sumit MalhotraScotiabank Global Banking and Markets, Research DivisionThat's fair.","Royal Bank of Canada, Q3 2017 Earnings Call, Aug 23, 2017"
"John T. StandleyCEO & DirectorThanks, Matt, and thank you all for joining us to review our second quarter results for fiscal 2016. Thesecond quarter was pivotal for Rite Aid as we finalized the acquisition of EnvisionRx and worked as a teamto accelerate Rite Aid's transformation into a retail health care company. In addition to the acquisition of EnvisionRx, we also made other significant investments in our businessin the second quarter, including refinancing a portion of our debt, building RediClinics at more locations,converting additional Rite Aid stores to our wellness format and continuing the launch of our new wellnessRITE AID CORPORATION FQ2 2016 EARNINGS CALL |  SEP 17, 2015  a division of","Rite Aid Corporation, Q2 2016 Earnings Call, Sep 17, 2015"
"So we have been focusing more in small market side than in immuno-oncology, and we did notparticipate in the first wave of the immuno-oncology product development that we saw in the industry. But we have initiated recent collaborations with Compugen and the German Cancer Research Center, andwe are focusing specifically in immuno-oncology with a BiTE antibody in prostate cancer in the Phase Iin clinical trials. And with the Compugen collaboration, we're focusing on a couple of products as well,","Bayer AG, Q1 2016 Earnings Call, Apr 26, 2016"
"So -- but Mike talked about Q4.I think important are the fundamentals going forward of the non-programming expense and thatare positively impacting margin. One, continued focus on the connectivity business is going to stay,business services, residential broadband,","Comcast Corporation, Q3 2019 Earnings Call, Oct 24, 2019"
"Cameron brings expertise and technology in the areas oftopdrives, pipe handling systems and blowout preventers, while the new system will also draw on the rigdesign acquisition and rig manufacturing JV we made last year. Five engineering prototypes of the newsystem will be ready for field testing in 2016 in Ecuador and the U.S., with full commercial introduction ontrack for 2017.Another example is our new hydraulic fracturing system, which will be introduced in 2017, where we willbring together new hardware technologies and significant process reengineering as well as a commonoperating and optimization software. This system will span the complete range of surface components,such as Cameron's CAMSHALE pressure control and wellhead systems, together with our own perforating,fracturing, cleanup and flowback services as well as our latest downhole completion technology andfracturing fluids.","Schlumberger Limited, Q1 2016 Earnings Call, Apr 22, 2016"
"We continue to increase investment in high-quality content. However, programming costs declinedprimarily due to the timing of content releases and some lower amortization expense. Turner revenues were down slightly.","ATT Inc., Q1 2019 Earnings Call, Apr 24, 2019"
"Remember again that we developed some projects in the North Seain the past, and we are going to put, of course, a part of the focus in the organic side that is normally themost profitable way to get returns. But on top of that we are fully open to be also be all selective in theorganic side, but mainly trying to identify capabilities, developers, pipeline, not exactly assets in operation. And the update -- I mean, we've -- today, we are confident to fulfill the targets we establish and we definein our strategic update.","Repsol, S.A., Q1 2019 Earnings Call, Apr 30, 2019"
"The group has a strong cash-generating ability, and this should create a satisfactory situation for shareholders. The most, most, most important thing long term to preserve the competitiveness of this group will be ourability to succeed in the acceleration of the cultural and operational transformation, and we are very muchfocused on that. And I will now leave room for all the questions you may have.AXA SA FY 2014 EARNINGS CALL |  ","AXA Group, 2014 Earnings Call, Feb 25, 2015"
"And CNNwill look to build on that success by further expanding its lineup of originals this year. Developing a robustslate of must-have programming is a process that takes time, but that's one of the things our companydoes best, and we're confident in the team at Turner, their strategy and their ability to drive increasedviewership across platforms as they execute on the plans they're putting in place. Before I turn it over to Howard, I want to emphasize that we have a lot of confidence in our ability toexecute on the ambitious strategy and growth plans we shared with you last October.","Time Warner Inc., Q4 2014 Earnings Call, Feb 11, 2015"
"As you know, we've chosen tofocus our efforts on daily use categories where products solve problems and performance drives brandchoice. In these categories, we're doubling down on meaningful superiority products, packaging, brandcommunication, retail execution and superior value in each price tier where we compete. We've raisedour standard for competitive advantage in each of these areas to drive market growth and market share.","The Procter  Gamble Company, Q2 2018 Earnings Call, Jan 23, 2018"
"It continued to innovate and scale its best-in-classSky Q platform and launched a new TV offering in Italy with Sky over digital terrestrial television. Highlighting Sky's proven cross-selling abilities, fiber penetration increase and mobile customers continueto scale in the U.K. Sky's successful original programming strategy drove strong viewing with Sky originalsrepresenting 9 out of the top 10-rated shows on its wholly owned and partner entertainment channels in2018. Sky enhanced its differentiated sports offering, securing Premier League soccer rights at a lowercost and Serie A in Italy with more exclusive games.","Comcast Corporation, Q4 2018 Earnings Call, Jan 23, 2019"
"It's very cool. Another example is the Google Photos app, which leverages powerful machine learning technology to helppeople discover, organize and share their photos. It's a great product that people love.","Alphabet Inc., Q3 2015 Earnings Call, Oct 22, 2015"
"Third, our deep local knowledge, the breadth and depth of our technology offering, together with ourgeographical scale, will clearly set us apart and further enable us to deliver differentiated financial resultsgoing forward. And fourth, the shortfall in profits and cash flow throughout the entire industry value chaincan only be permanently addressed by a dramatic step change in industry performance, including intrinsicquality and efficiency, technology system innovations and more aligned and collaborative business models,and Schlumberger is and will remain at the absolute forefront of this industry transformation. That concludes today's call.","Schlumberger Limited, Q2 2016 Earnings Call, Jul 22, 2016"
"The other one is profitline management, which has really yielded so much benefits here in North America. With these newlaunches, a launch mix in rates, series, feature content, we have a tremendous opportunity to drive betterFORD MOTOR COMPANY FQ3 2018 EARNINGS CALL |  OCT 24, 2018  a division of","Ford Motor Company, Ford Motor Credit Company LLC, Q3 2018 Earnings Call, Oct 24, 2018"
"the digital tools may change the nature of how we go to market in terms of whether we need all thebranches that we have today, do we need the manufacturing footprint that we have today. So continuingto evaluate the structural costs from that perspective and seeing whether the use of digital tools in thisdigital age can actually help us take our cost down in a more fundamental manner than what we hadtraditionally done at Otis is what the next step is going to be, right?","United Technologies Corporation, Q3 2018 Earnings Call, Oct 23, 2018"
And today we had also the meeting and we tried to improve some of the units to go to Agile and they saythat 3 years ago when we started with Agile it was a big hill to convince the leaders to go to Agile.,"Sberbank of Russia, Q4 2018 Earnings Call, Feb 28, 2019"
"And at Turner, our new NBA contract at TNTkicks in, and CNN will continue to have elevated cost related to its election coverage. So we expectprogramming cost at both HBO and Turner to be up double digits in the fourth quarter when excluding lastyear's programming charges. In addition, we anticipate our effective tax rate will be in the low 30% range, and we expect that to be asustainable level going forward.","Time Warner Inc., Q3 2016 Earnings Call, Nov 02, 2016"
"We are beta testing new play modes and content for Honorof Kings with the aim of growing its user base and creating educational value for younger players. Andsecondly, QQ Speed Mobile, which demonstrated our ability to migrate an internally developed franchise,QQ Speed, from PC to mobile and expand the franchise's audience during that migration. The mobileDAU for this game is 7x higher than the highest-ever achieved PC DAU, and over 40% of users QQ SpeedMobile and","Tencent Holdings Limited, Q1 2018 Earnings Call, May 16, 2018"
"Suddenlink is already the mostefficient cable operator in the U.S., but we are targeting significantly more efficiencies going forward. Our French adjusted EBITDA margins were 37.1% in Q3, just over 1 percentage point higher than lastyear as we're entering the next phase of the company transformation, which should continue to supportanother step-up in EBITDA growth from here. Although our operating free cash flow margin is growing at18%, you can see French is significantly below the average cash conversion of the rest of the group.","Altice N.V., SFR Group SA, Q3 2016 Earnings Call, Nov 10, 2016"
"And the 1% reduction in CapEx itself is obviously what you're guiding to ata group level. And what's driving that lower CapEx effectively?José María Álvarez-Pallete LópezExecutive Chairman & CEOWell, taking your question on the mix of features that we put in play in order to build this More for Morestrategy. You are right.","Telefonica, S.A., H1 2017 Earnings Call, Jul 27, 2017"
"We have all the capabilities to be a first player supporting the transformation of clients' businesses. We have built a Lego-like portfolio based on a digital core proposal with comms, IoT and cloud, and acomplete ecosystem of leading digital services to be added on top of it. This is all underpinned by ourglobal reach and making differentiated value proposals for multinationals, corporates or SMEs.","Telefonica, S.A., 2018 Earnings Call, Feb 21, 2019"
"The key reason is that we havegotten the approval actually to launch Monster Hunter with monetization. And what happened was thecontent eventually delivered by the developer was actually not -- did not completely comply with theregulatory requirement. And as a result, we have to suspend the sales of the content, and we need toadjust the content alongside with the developer in order to prepare it for approval in the future.","Tencent Holdings Limited, Q2 2018 Earnings Call, Aug 15, 2018"
"We will continue toprovide energy insights to our customers from data collection and analytics, to help performance manageenergy and operations and enable preventative maintenance across their businesses. In energy optimization, we will deliver value for business customers by managing and optimizing all oftheir energy resources and giving them real-time control. We will provide a route-to-market for energyand demand-side response to the commodity markets, capacity markets and grid services.CENTRICA PLC FY 2016 EARNINGS CALL |  FEB 23, 2017Copyright","Centrica plc, 2016 Earnings Call, Feb 23, 2017"
"We should expect in 2016 a significant cash out, approximately $700 million to $800 million,for those restructuring provisions we have taken. And for that reason, you should not expect as highconversion rates in 2016 as in 2015. But we will continue to drive a good cash flow and a good cash flowconversion.","ABB Ltd., Q4 2015 Earnings Call, Feb 03, 2016"
So first onMA. There's been some chatter in the marketplace that you picked up a very large group win out there for2018.,"Aetna Inc., Q1 2017 Earnings Call, May 02, 2017"
"S&P Global Inc. All rights reservedspglobal.com/marketintelligence2Table of Contents Call Participants.................................................................................. 3Presentation..................................................................................4Question and Answer..................................................................................10HEWLETT PACKARD ENTERPRISE COMPANY FQ3 2018 EARNINGS CALL |   AUG 28, 2018","Hewlett Packard Enterprise Company, Q3 2018 Earnings Call, Aug 28, 2018"
"We're determined to win backour customers over the coming months including Christmas. The BIG W transformation journey is well underway and we believe the most disruptive points are thehalf -- are the path of the company. There are plenty of upside in this business, and we're really confidentabout","Woolworths Limited, 2015 Earnings Call, Aug 28, 2015"
"Postelection, Fox News is continuing to beat CNN and MSNBC combined. Adding to this strength is year-over-year growth in the important 7:00 p.m. and 9:00 p.m. time slots following recent programmingchanges. All of this underscores the underlying strength of the Fox News brand, the enduring power of itspositioning and the continued loyalty of its viewers.","Twenty-First Century Fox, Inc., Q2 2017 Earnings Call, Feb 06, 2017"
"But the other more encouraging part is that with all the sensors that we have put in the GTFcompared to the old conventional engines, there is so much more data that we are getting. And takingbenefit of that digital effort, we would be able to be much better at predictive maintenance and therefore,reduce the cost of maintenance over the long term. So that, I don't believe that has fully been factoredinto the business cases as well.","United Technologies Corporation, Q1 2017 Earnings Call, Apr 26, 2017"
"So within that broader effort, these enterpriseinitiatives take advantage of the combined company's unique capabilities and assets while helping usaccelerate our savings goals. So some examples of these opportunities include call centers, digitalizationof shared services, demand management and rationalization of our IT infrastructure. So this is a multiyear effort.","CVS Health Corporation, Q1 2019 Earnings Call, May 01, 2019"
"this quarter, we gave developers early access to Android O, which will focus on vitals likebattery life and performance. And Google Play continues to be a vital distribution platform for developers. An incredible 82 billion apps were downloaded from Google Play in the last year alone.","Alphabet Inc., Q2 2017 Earnings Call, Jul 24, 2017"
"We really don't know if theseare some preelection discussion or something that has some possibility to fly. Our position is that wedo think that the only way in which Europe could cross this period in which we have overcapacity, noinvestments, lower prices, to a new period in which Europe will need new investments, the only way tocreate a framework in which the operators will decide to reinvest in Europe is to push through with anoverall European framework and not to split measures at the country level that will destroy this feature. We are working only at that level.","Enel SpA, Q1 2016 Earnings Call, May 10, 2016"
"BarnesRBC Capital Markets, LLC, Research DivisionI hear your commentary around customer collaboration and I recognize the need to have thoseconversations. But if I'm looking at this incredible surge in volume a couple of times a year, and especiallyaround peak season, and there's only a couple of networks in this country that can handle that level ofsurge, I'm trying to understand why there has to be this level of collaboration. I mean, if the e-commercerevolution's taught us anything, it's people want a lot","United Parcel Service, Inc., Q4 2014 Earnings Call, Feb 03, 2015"
"Mobile communications revenue isshowing a similar trend. Next, au Economic Zone index and value-added ARPA. Life design services business.","KDDI Corporation, Q1 2019 Earnings Call, Aug 01, 2018"
"The first one was to get your thoughts on Tanzania LNG. I saw that you wentnonconcerned [ph] on the last exploration well with Statoil, and didn't seem to be featured on any of the 4projects you highlighted on the slide in the Analyst Day. Just wondering if this is something that's kind ofdropped to the back of the queue, whether you've deprioritized in this kind of this environment and withyour CapEx cutbacks.","Exxon Mobil Corporation, Q1 2015 Earnings Call, Apr 30, 2015"
"So let me now turn to the opportunity. Vittorio will provide you with a detailed overview of thetransformation we aim to achieve in customer experience relative to our peers, and along with it therelative revenue opportunities from our new Digital Vodafone program. So on this side, I would just focuson the potential to maintain our recent progress in reducing absolute operating costs.","Vodafone Group Plc, H1 2018 Earnings Call, Nov 14, 2017"
"that is a long-term issue, but we've certainlyseen a little bit of impact, both from our finance transformation and also in some of the work we've donewith our new ordering platform. But again, in both cases, we think that they are short term, and we'reworking through them.","Sysco Corporation, Q4 2019 Earnings Call, Aug 12, 2019"
"Top line growth continuesto be muted as a result of our selectivity and currency, but GP has a very solid development. And togetherwith the improved conversion rate, we have been able to really improve the EBIT by 57%. With a 2.8%EBIT margin, we are now heading back into the right direction, but we know that we still have some wayto go.","Deutsche Post AG, Q2 2018 Earnings Call, Aug 07, 2018"
"SFC to revenue ratio going down 40 bps. I tell you that the effort of cost, on cost, ismuch higher because at the same time, as we decrease the total cost, we keep investing in digitalizationand in services and on EcoStruxure. And this is due again to the model that we have of integrating oursales force, integrating the supply chain, integrating the back office, which is delivering mutualization andglobalization gains.","Schneider Electric S.E., H1 2017 Earnings Call, Jul 27, 2017"
"You remember hurricane, an very important cost for us. Butat the end, the EBITDA is growing 1.4% and the margin is better thanks to the transformation plan weaccelerate. I just want to remember -- to remind you, EUR 30 million of savings this year.","Orange S.A., 2017 Earnings Call, Feb 21, 2018"
"Inthe U.S., we've also expanded the lump sum offering of our legacy variable annuity product, and we arepleased that we exceeded expectations with a reduction of USD 1 billion in account balances in the first 6months of the year. And third, the continued investments we're making in improving efficiency through the digitization of ourcore businesses. In the U.K., for instance, we're upgrading 2,000 customers every day from our backbook onto our digital platform without requiring any manual action.","AEGON N.V., Q2 2015 Earnings Call, Aug 13, 2015"
"So we're not going to talk a lot about that today but we're thrilled with our opportunity in the autoplatform in terms of our product, our service on both the claims and CRM side, our retention and ourbrand. So putting all those components together, we feel very positive that we have a lot of opportunity onthe auto side.","The Progressive Corporation, Q3 2017 Earnings Call, Nov 03, 2017"
"And soI was hoping you could give us some color on how much transformation you expect in the FICC capitalstructure and the expense structure of Fixed Income for your business. Harvey M. SchwartzFormer President, Co-COO & CFOWell, first and foremost, I'd say the thing that drives the strategy is not digitization in and of itself , it's howwe engage our clients.","The Goldman Sachs Group, Inc., Q1 2016 Earnings Call, Apr 19, 2016"
"Movistar Home smart device will be available from mid-November in Spain through AURA, reinventing theexperience for users who will enjoy the possibility of managing by voice the contents of Movistar+ as wellas communications and home connectivity. TELEFÓNICA, S.A. FY NINE MONTHS 2018 EARNINGS CALL |  OCT 31, 2018  a division of","Telefonica, S.A., Nine Months 2018 Earnings Call, Oct 31, 2018"
"I'd like tothank all parties involved for the constructive dialogue that we have had in these past months. Also the other transformation programs remain well on track. The central IT team in Madrid, is reachingthe scale needed to support a Model Bank and is preparing now for a rollout into the first challengingmarket, which is the Czech Republic for us.","ING Groep N.V., Q1 2017 Earnings Call, May 10, 2017"
"S&P Global Inc. 5Finally, we have consistently invested in technology and strengthened the core functions of the bank. These include investments in the digitization of the bank, investments in AML and cybersecurity to protectthe bank and our customers. As we continue to execute our strategy, the bank will be better positioned forconsistent long-term growth and improve shareholder returns.","The Bank of Nova Scotia, Q1 2019 Earnings Call, Feb 26, 2019"
"It comes from Chris Wetherbee of Citibank. Can you give us asense of scope of the transformation plans beyond the VRP? Does it include operating methods approachto pricing and capacity?Scott A. PriceSenior VP & Chief Strategy Transformation OfficerThanks, Chris, for the question.","United Parcel Service, Inc., Q2 2018 Earnings Call, Jul 25, 2018"
"stuffthat's really related to the operating units?David Lawrence HerzogFormer Executive VP, CFO & Principal Accounting OfficerThat is primarily corporate-related, governance-related activities. There are -- there is some amount ofregulatory in there, obviously, and there's a portion of finance in there, but we do push down quite a bit ofexpenses.","American International Group, Inc., Q3 2015 Earnings Call, Nov 03, 2015"
"In addition, our full suite of brands was included in DirecTV Now's November launch, and we expect thefull suite to be included in the wave of emergent DMVPD services, including as previously announced,Hulu's live and on-demand service, which launches in the next couple of months. These agreements with both established distributors and new entrants move us forward on anotherstrategic priority, driving a more compelling user experience for our customers.","Twenty-First Century Fox, Inc., Q2 2017 Earnings Call, Feb 06, 2017"
"New Zealand had a solid result with good growth across lending and deposits, a gain on the sale toPaymark and lower impairment charges. We've been using New Zealand as an innovation incubator andare beginning to import some of their success, particularly new ways of working in our core product andtechnology areas. Now turning to the balance sheet.","Westpac Banking Corporation, 2019 Earnings Call, Nov 04, 2019"
"Our team has done an excellent job of identifying adjacent industries and targeting underservedcustomers. With consistent growth for over 2 years and following the completion of our Europe components ERPimplementation, the segment has now delivered 8 straight quarters of year-over-year operating marginimprovement. Our enterprise computing solutions","Arrow Electronics, Inc., Q3 2015 Earnings Call, Oct 28, 2015"
"As usual, we will start with a review of ABB's results, and then I will provide abrief update on our 2018 agenda. Let's look first at Slide 4, which gives an overview of how we havecontinued to deliver on our strategy to drive profitable growth, relentless execution and business-ledcollaboration. In the third quarter, both total orders and base orders were up in all divisions and regions.","ABB Ltd, Q3 2018 Earnings Call, Oct 25, 2018"
"Now in addition to the music company, we also made a significant substantial investment in Supercellduring the quarter. Supercell is the world's largest standalone mobile games company, with a proven trackrecord in developing games that can deliver innovative game play and long life cycles. We are extremelyexcited about Supercell joining our global network of gaming partners.","Tencent Holdings Limited, Q2 2016 Earnings Call, Aug 17, 2016"
"It is, as we've said before, a massive project. We're putting the entire system in on a common ERP system and refranchising the territories one salescenter at a time to make sure that the capability that we build continues to grow and that our customersare well served in the process. And we're pleased with the progress.","The Coca-Cola Company, Q1 2015 Earnings Call, Apr 22, 2015"
"Gerard S. CassidyRBC Capital Markets, LLC, Research DivisionYou guys have made great progress with the penetration of the mobile banking app that you've created aswell as online banking. And you can -- you showed us that your branch count is down over 100 brancheson a year-over-year basis.","JPMorgan Chase  Co., Q2 2015 Earnings Call, Jul 14, 2015"
"So as wethink about cost savings, it's really disciplined on an enterprise basis, which would include our corporatefunctions. As we think about our operating model optimization efforts, whether that be in finance ortechnology or HR, clearly those will be enterprise-wide as well. So as we think about these are reallyholistic programs where we expect the benefits to have an impact not only within the segments, but alsowithin our corporate expense line as well.","McKesson Corporation, Q4 2019 Earnings Call, May 08, 2019"
"When you get to Europe, Europe is a challenging market. We have made a lotof progress with our transformation plan. I think the share improvement is very, very encouraging.","Ford Motor Co., Q1 2015 Earnings Call, Apr 28, 2015"
"Research DivisionBut you do see some improved matching statistics, for example, on your dashboard. Jacques van den BroekCEO & Chairman of the Executive BoardYes,","Randstad NV, Q1 2019 Earnings Call, Apr 24, 2019"
"'re nowat a place where we have almost 4,000 customers in ERP SaaS.","Oracle Corporation, Q3 2017 Earnings Call, Mar 15, 2017"
"In the Corporation side, we maintained efforts in implementing lean processes and ensuring ourcommitment to reduce cost by 9% in 2020. I'd like to highlight the achievements in the digital side, indigitalization with more than 130 initiatives and 1,000 professionals involved, allowing us to obtain in2019 a positive impact in cash flow from operations of more than EUR 150 million through projects alreadyimplemented and under implementation. Furthermore, we are working on additional initiatives that are in preliminary stages that we are confidentwill generate additional positive impacts in 2019.","Repsol, S.A., Q1 2019 Earnings Call, Apr 30, 2019"
So we've got about 90% of our affiliate fees at Time Warnerin 5 networks. And we think they add a lot of value to consumers and have the kind of programmingthat people love on demand. That's basically our view whether the question is smaller bundles or VODpackages.,"Time Warner Inc., Q1 2015 Earnings Call, Apr 29, 2015"
"I think you'd better have a goodroad map, how you reduce and how you bring new building material solutions for the years to come. So I know we are in communication, maybe you sometimes have the impression we are -- we don'tcommunicate enough and I would agree to that, and we'll try to improve that in the months to come.","LafargeHolcim Ltd, H1 2019 Earnings Call, Jul 31, 2019"
"Our profit for the year, excluding foreign exchange effect, increased by 1.5x as we had materialimpairment loss in 2015, which we managed to practically avoid in 2016 despite lower average oil priceduring the year. Strict financial discipline, cost optimization and high flexibility allowed us to reduce our capitalexpenditures by 16% year-on-year in ruble terms and continue generation strong free cash flow, whichamounted to RUB 255 billion or practically $4 billion in 2016.We are proud to state that 2016 was the 18th consecutive year of positive free cash flow generation byLUKOIL, which confirms the very well-balanced nature of our vertically integrated business model. I wouldlike to draw your attention to the fact that our absolute and per barrel free cash flow generation is oneof the highest in the global oil and gas universe, which supports our strong financial position and ournew progressive dividend policy.","Public Joint Stock Company Oil Company LUKOIL, 2016 Earnings Call, Mar 15, 2017"
"This will be my last earnings call as CEO of this greatcompany. First and foremost, I'd like to thank all of you for your support and collaboration. It's been mydistinct privilege and pleasure to serve you and all of our share owners as CEO for almost 9 years now.","The Coca-Cola Company, Q1 2017 Earnings Call, Apr 25, 2017"
"Moving on now to our efficiency program, which delivered a further GBP 97 million of savings in the firsthalf of 2019, which, again, more than offset the impact of inflation and foreign exchange movements. Wemade significant further progress in transforming our customer and field operations in the U.K. and theU.S., enabled by further digitalization of customer journeys, including a continued focus on self-serve andautomation. In April, we announced the closure for 2 of our U.K. customer operation sites.","Centrica plc, H1 2019 Earnings Call, Jul 30, 2019"
"Taking into considerationthe current foreign exchange, it could be difficult for the full year as well. Now regarding Information& Telecommunication Systems as well as high technologies, we believe that the strong performancewill continue. But there is significant volatility in foreign exchange.","Hitachi, Ltd., Q1 2017 Earnings Call, Jul 29, 2016"
"I want to tell you that our relationship with GeneralMotors and my personal relationship with Mary Barra is very smooth. We have excellent communication. When there is a problem, we fix it.","Peugeot S.A., 2017 Earnings Call, Mar 01, 2018"
"That's centralized that all of our connected enterprises use. But then the actual analytics, the solutions that are provided, those are very much vertically oriented. And the way we approach this is essentially each of those businesses and customer-focused business,so whether it's connected aircraft, connected plant, connected buildings, we developed","Honeywell International Inc., Q4 2018 Earnings Call, Feb 01, 2019"
"And I was very simply wondering if it will be enough going forward, as someof your competitors are already running faster than you? They are ahead of you in terms of [indiscernible]products, digitalization, autonomous ramping and so on. And they are accelerating and implementing theirstrategy doing more with more.","Peugeot S.A., 2015 Earnings Call, Feb 24, 2016"
